cod_art,nom_art,isbn,autor,cod_edito,cod_colecc,cod_tema,precio_1
9789804250644,DOBLE CRIMEN,9789804250644,LINDA LOAIZA LUISA KISLINGER,049,001,241,20.0
9789804250651,QUIEN DESTRUYO PDVSA,9789804250651,GUSTAVO CORONEL SERGIO SAEZ,049,001,131,15.0
9789804250668,ANATOMIA DE UNA CATASTROFE,9789804250668,JOSE GUERRA,049,001,071,25.0
9789804250675,SANTA PALABRA,9789804250675,CARLOS ORTIZ BRUZUAL,049,001,266,25.0
9789804250682,LA NACION INCIVIL,9789804250682,ALONSO MOLEIRO,049,001,071,25.0
9789804250699,VENEZUELA INVERTEBRADA,9789804250699,PAOLA BAUTISTA DE ALEMAN,049,001,071,25.0
9789804250705,AHORA VAN A CONOCER AL DIABLO,9789804250705,OSCAR MEDINA,049,001,241,5.0
9789804250729,EDUCACION PARA LA LIBERTAD,9789804250729,ENRIQUE PEREZ OLIVARES,049,001,071,25.0
9789804250767,ASI MATARON A DANILO DANILO ANDERSON,9789804250767,ALFREDO MEZA,049,001,260,20.0
9789804250781,SEMIALOGIA CLINICA OARA ENFERMERIA,9789804250781,SERGIO MARTINEZ,455,001,277,60.0
9789804250811,LAS BALAS DE ABRIL,9789804250811,FRANCISCO OLIVARES,049,001,260,20.0
9789804250835,DOS TRADICIONES UN CONFLICTO,9789804250835,MICHAEL PENFOLD,049,001,071,20.0
9789804250842,UNA FABRICA DE CIUDADANOS,9789804250842,GUSTAVO CORONEL,049,001,071,20.0
9789804250866,VENEZUELA FRACTURADA,9789804250866,IVAN DARIO JIMENEZ,049,001,071,25.0
9789804250873,UN DRAGON EN EL TROPICO,9789804250873,JAVIER CORRALES MICHAEL PENFOLD,049,001,071,20.0
9789804250880,NOTAS SOBRE EL ARBITRAJE EN EL SISTEMA VENEZOLANO,9789804250880,FRANCISCO HUNG VAILLANT,049,001,071,25.0
9789804250897,MI AVION DE PAPEL,9789804250897,MENENA COTTIN,049,001,071,25.0
9789804250903,EL PAIS QUE SE MUERDE LA COLA,9789804250903,MICHAEL PENFOLD,049,001,071,25.0
9789804250910,EL TREN DE ARAGUA,9789804250910,RONNA RISQUEZ,049,001,260,25.0
9789804250927,LA PATRIA QUE VIENE,9789804250927,JULIO ANDRES BORGES PAOLA BAUTISTA DE ALEMAN,049,001,071,15.0
9789804250972,CUANDO EL TIEMPO SE DETUVO,9789804250972,ARIANA NEUMANN,049,001,265,30.0
9789804251009,REPUBLICA DE MILICIAS,9789804251009,BRUNO PAES MANSO,049,001,260,20.0
9789804251023,TODO SE PUEDE PONER PEOR,9789804251023,WILLIAM NEUMAN,049,001,049,27.0
9789804251030,70 AÑOS DE CRONICAS GASTRONOMICAS,9789804251030,VA,048,001,049,30.0
9789804251047,ANALISIS CLINICO Y BIOMECANICO DE LA MARCHA HUMANA,9789804251047,MARCEL RUPCICH G,455,001,277,60.0
9789804251054,MI PADRE EL AVIADOR,9789804251054,LISSETTE GONZALEZ,049,001,049,18.0
9789804251078,HOMO CHAVISTUS,9789804251078,PAOLA BAUTISTA DE ALEMAN JUAN MIGUEL MATHEUS,049,001,071,20.0
9789804251085,CUIDADANO WILMITO,9789804251085,ALFREDO MEZA,049,001,260,18.0
9789804251092,EL TEMA,9789804251092,LUCAS GARCIA PARIS,049,001,264,20.0
9789804251108,CAZA MAYOR,9789804251108,BENAMI FIHMAN,049,001,287,30.0
9789804251139,CANAIMA DE CARNE Y HUESOS,9789804251139,JESUS PIÑERO/VALERIA PEDICINI,049,001,241,18.0
9789804251160,ELLA SOY YO,9789804251160,ELLA FONTANALS CISNEROS,049,001,172,30.0
9789804251207,ZIGZAGEANDO HACIA LA DEMOCRACIA,9789804251207,ISABELLA SANFUENTES Y SEBASTIAN HORESOK,049,001,211,18.0
9789804370304,EL ORIGEN DEL EXITO,9789804370304,LUZMILA CASIQUE,336,001,278,15.0
9789804370397,EL JUEGO DE LA VENTA,9789804370397,ANDRES AUGUSTO RODRIGUEZ,336,001,255,20.0
9789804370557,LA FUERZA DE LA  ACEPTACION,9789804370557,ENDRINA YEPEZ,336,001,014,15.0
9789804371035,CRECIENDO CON ELLOS,9789804371035,HILDA MAR,336,001,014,18.0
9789804371288,ADIOS ENFERMEDADES,9789804371288,VA,336,001,277,20.0
9789804372001,MENOS OBESIDAD MAS VIDA,9789804372001,MARIA MILAGROS RIERA,336,001,277,20.0
9789804372056,TU CONEXION SUPERIOR,9789804372056,DRA OFELIA GRANADOS,336,001,308,28.0
